  # energy grid [eV]     JDOS [1/eV] 
       0.000000       0.000000
       0.050083       0.000000
       0.100167       0.000000
       0.150250       0.000000
       0.200334       0.000000
       0.250417       0.000000
       0.300501       0.000000
       0.350584       0.000000
       0.400668       0.000000
       0.450751       0.000000
       0.500835       0.000000
       0.550918       0.000000
       0.601002       0.000000
       0.651085       0.000000
       0.701169       0.000000
       0.751252       0.000000
       0.801336       0.000000
       0.851419       0.000000
       0.901503       0.000000
       0.951586       0.000000
       1.001669       0.000000
       1.051753       0.000000
       1.101836       0.000000
       1.151920       0.000000
       1.202003       0.000000
       1.252087       0.000000
       1.302170       0.000000
       1.352254       0.000000
       1.402337       0.000000
       1.452421       0.000000
       1.502504       0.000000
       1.552588       0.000000
       1.602671       0.000000
       1.652755       0.000000
       1.702838       0.000000
       1.752922       0.000001
       1.803005       0.000007
       1.853088       0.000021
       1.903172       0.000040
       1.953255       0.000066
       2.003339       0.000095
       2.053422       0.000102
       2.103506       0.000086
       2.153589       0.000068
       2.203673       0.000058
       2.253756       0.000078
       2.303840       0.000119
       2.353923       0.000150
       2.404007       0.000163
       2.454090       0.000157
       2.504174       0.000150
       2.554257       0.000175
       2.604341       0.000255
       2.654424       0.000498
       2.704508       0.000918
       2.754591       0.001266
       2.804674       0.001464
       2.854758       0.001664
       2.904841       0.001858
       2.954925       0.001831
       3.005008       0.001566
       3.055092       0.001371
       3.105175       0.001536
       3.155259       0.001830
       3.205342       0.001841
       3.255426       0.001655
       3.305509       0.001588
       3.355593       0.001736
       3.405676       0.002246
       3.455760       0.003069
       3.505843       0.003508
       3.555927       0.003295
       3.606010       0.002906
       3.656093       0.002728
       3.706177       0.002812
       3.756260       0.002892
       3.806344       0.002767
       3.856427       0.002579
       3.906511       0.002492
       3.956594       0.002454
       4.006678       0.002541
       4.056761       0.002682
       4.106845       0.002568
       4.156928       0.002303
       4.207012       0.002203
       4.257095       0.002227
       4.307179       0.002324
       4.357262       0.002515
       4.407346       0.002648
       4.457429       0.002714
       4.507513       0.002847
